Specie,Supply_Type,Total_MORFO_Supply_Kg
Bertholletia excelsa,supplier_top,0
Bixa arborea,pilot_top,5.333
Bixa arborea,supplier_top,31
Bixa orellana,pilot_top,23222.779
Bixa orellana,supplier_2ry,125.439
Bixa orellana,supplier_top,598.553
Bowdichia virgilioides,pilot_top,1858
Bowdichia virgilioides,supplier_2ry,41.673
Bowdichia virgilioides,supplier_top,26.333
Brosimum gaudichaudii,pilot_top,68.528
Brosimum potabile,supplier_2ry,80
Buchenavia grandis,supplier_2ry,0.003
Buchenavia grandis,supplier_top,239.569
Buchenavia sp.,supplier_2ry,150
Buchenavia sp.,supplier_top,59.5
Buchenavia tetraphylla,supplier_top,42
Burdachia prismatocarpa,supplier_2ry,33.333
Butia capitata,supplier_top,16.667
Byrsonima aerugo,supplier_2ry,116.667
Byrsonima arthropoda,supplier_top,0
Byrsonima basiloba,supplier_top,0
Byrsonima coccolobifolia,pilot_top,0.333
Byrsonima coccolobifolia,supplier_top,0
Byrsonima crassifolia,pilot_top,450.78
Byrsonima crassifolia,supplier_2ry,66.666
Byrsonima crispa,supplier_2ry,7.006
Byrsonima crispa,supplier_top,0
Byrsonima cydoniifolia,supplier_top,122.443
Byrsonima intermedia,supplier_top,12.478
Byrsonima pachyphylla,pilot_top,0.333
Byrsonima pachyphylla,supplier_top,1.667
Byrsonima riparia,supplier_top,0
Byrsonima sericea,supplier_2ry,0.667
Byrsonima sp.,pilot_top,4.665
Byrsonima sp.,supplier_2ry,233.333
Byrsonima sp.,supplier_top,19.036
Byrsonima verbascifolia,supplier_top,2
Cabralea oblongifoliola,supplier_2ry,0
Caesalpinia echinata,supplier_2ry,1.67
Caesalpinia ferrea,supplier_2ry,0.033
Caesalpinia ferrea,supplier_top,10
Caesalpinia leiostachya,pilot_top,0.533
Cajanus cajan,pilot_top,3.333
Cajanus cajan,supplier_2ry,235.903
Cajanus cajan,supplier_top,2372.001
Callistemon viminalis,supplier_2ry,0.666
Callisthene fasciculata,pilot_top,0.333
Calophyllum brasiliense,supplier_2ry,20
Calophyllum brasiliense,supplier_top,6
Campomanesia xanthocarpa,supplier_2ry,0
Canavalia ensiformis,pilot_top,3.333
Canavalia ensiformis,supplier_2ry,50.003
Canavalia ensiformis,supplier_top,7845.333
Canavalia gladiata,supplier_2ry,1.333
Carapa guianensis,pilot_top,338.6
Carapa procera,supplier_2ry,333.333
Carica papaya,supplier_2ry,0.003
Carica papaya,supplier_top,4.185
Cariniana estrellensis,supplier_2ry,7
Cariniana estrellensis,supplier_top,3.8
Cariniana legalis,pilot_top,0.037
Cariniana legalis,supplier_2ry,0.667
Cariniana rubra,supplier_2ry,3.333
Cariniana rubra,supplier_top,0.333
Cariniana sp.,supplier_top,0.667
Carpentaria acuminata,supplier_2ry,0.833
Caryocar brasiliense,pilot_top,8757
Caryocar brasiliense,supplier_2ry,0.339
Caryocar brasiliense,supplier_top,337.167
Caryocar brasilliense,pilot_top,60.837
Caryocar coriaceum,supplier_2ry,200
Caryocar glabrum,supplier_2ry,66.667
Caryocar sp.,pilot_top,3.333
Caryocar villosum,supplier_2ry,166.667
Cassia fastuosa,pilot_top,0.167
Cassia fastuosa,supplier_top,5
Cassia ferruginea,supplier_2ry,0.333
Cassia ferruginea,supplier_top,0.333
Cassia grandis,supplier_2ry,0
Cassia leiandra,supplier_top,7.5
Cassia leptophylla,supplier_2ry,0.667
Cassia sp.,supplier_2ry,33.333
Cassia spruceana,supplier_2ry,66.667
Cecropia distachya,pilot_top,0.066
Cecropia glaziovii,supplier_top,2.667
Cecropia hololeuca,supplier_2ry,3.333
Cecropia hololeuca,supplier_top,3.333
Cecropia obtusa,pilot_top,0.033
Cecropia pachystachya,pilot_top,0.333
Cecropia pachystachya,supplier_2ry,87.333
Cecropia pachystachya,supplier_top,58.5
Cecropia sp.,pilot_top,20881.2
Cecropia sp.,supplier_2ry,16.67
Cedrela fissilis,pilot_top,974.567
Cedrela fissilis,supplier_2ry,5.334
Cedrela fissilis,supplier_top,23.1
Cedrela odorata,supplier_2ry,3.333
Ceiba pentandra,pilot_top,3.401
Ceiba pentandra,supplier_2ry,0.003
Ceiba pentandra,supplier_top,13.433
Ceiba speciosa,supplier_2ry,0.67
Ceiba speciosa,supplier_top,111.304
Cenostigma pyramidale,pilot_top,2.895
Cenostigma tocantinum,pilot_top,31.333
Cenostigma tocantinum,supplier_2ry,0.003
Centrolobium microchaete,supplier_top,0.333
Centrolobium robustum,supplier_2ry,0
Centrolobium tomentosum,supplier_2ry,29.334
Centrolobium tomentosum,supplier_top,50
Cereus jamacaru,pilot_top,183.333
Chaetocarpus echinocarpus,supplier_top,0
Chamaecrista aspleniifolia,supplier_2ry,0.003
Chamaecrista orbiculata,supplier_top,0
Chloroleucon acacioides,pilot_top,0.333
Chloroleucon acacioides,supplier_top,12.4
Chloroleucon mangense,pilot_top,3.333
Chloroleucon mangense,supplier_top,37.333
Chromolaena maximiliani,supplier_top,57.333
Chrysophyllum cuneifolium,pilot_top,3.333
Citharexylum myrianthum,supplier_2ry,12.503
Citharexylum myrianthum,supplier_top,2.667
Citharexylum poeppigii,pilot_top,1.667
Citrus limonia,supplier_top,1.667
Clitoria fairchildiana,pilot_top,0.04
Clitoria fairchildiana,supplier_2ry,20
Clitoria fairchildiana,supplier_top,0.003
Coccoloba mollis,pilot_top,0.333
Cochlospermum orinocense,supplier_top,12.067
Colubrina glandulosa,supplier_top,16.5
Combretum duarteanum,supplier_top,173.333
Combretum leprosum,pilot_top,2.017
Combretum leprosum,supplier_top,6.667
Combretum sp.,supplier_2ry,0.003
Commiphora sp.,supplier_2ry,33.333
Connarus suberosus,pilot_top,0.333
Connarus suberosus,supplier_2ry,0.003
Copaifera langsdorffii,pilot_top,539.067
Copaifera langsdorffii,supplier_2ry,27.003
Copaifera langsdorffii,supplier_top,563.299
Copaifera martii,supplier_top,34.667
Copaifera multijuga,pilot_top,18.333
Copaifera sp,supplier_2ry,10.003
Copernicia prunifera,pilot_top,33.352
Cordia alliodora,pilot_top,0.04
Cordia alliodora,supplier_top,6.333
Cordia goeldiana,supplier_top,5
Cordia sellowiana,supplier_top,5
Cordia superba,supplier_2ry,1.667
Cordia trichotoma,supplier_2ry,10
Cordia trichotoma,supplier_top,1.667
Cordiera elliptica,pilot_top,0.333
Cordiera humilis,supplier_top,2.333
Couepia grandiflora,pilot_top,100.333
Couepia grandiflora,supplier_top,1.667
Couma macrocarpa,supplier_2ry,20
Couma utilis,supplier_2ry,20
Couroupita guianensis,supplier_2ry,2.666
Coussarea hydrangeifolia,pilot_top,0.333
Crotalaria juncea,supplier_2ry,1.667
Crotalaria ochroleuca,supplier_2ry,3.333
Crotalaria ochroleuca,supplier_top,1
Crotalaria sp.,supplier_2ry,0.67
Crotalaria sp.,supplier_top,0
Crotalaria spectabilis,supplier_top,6683.334
Croton floribundus,supplier_2ry,0.833
Croton floribundus,supplier_top,11.667
Croton urucurana,pilot_top,1.333
Croton urucurana,supplier_2ry,0
Croton urucurana,supplier_top,1.667
Cucumis anguria,supplier_2ry,0.003
Cucumis anguria,supplier_top,3.277
Cucurbita moschata,supplier_top,4.333
Cucurbita pepo,supplier_top,5.003
Cucurbita sp.,supplier_2ry,0.67
Curatella americana,pilot_top,16.667
Curatella americana,supplier_top,68.667
Cybistax antisyphilitica,supplier_2ry,3.333
Cybistax antisyphilitica,supplier_top,15.5
Cytharexylum myrianthum,supplier_2ry,1
Cytharexylum myrianthum,supplier_top,20
Dalbergia inundata,supplier_2ry,33.333
Dalbergia miscolobium,pilot_top,0.666
Dalbergia miscolobium,supplier_top,50
Dalbergia nigra,supplier_2ry,7.67
Dalbergia spruceana,supplier_2ry,16.667
Dalbergia vilosium,pilot_top,5.067
Davilla elliptica,pilot_top,0.333
Davilla elliptica,supplier_top,0.667
Davilla sp,supplier_2ry,0.003
Delonix regia,supplier_2ry,3.167
Dialium guianense,pilot_top,3.333
Dialium guianense,supplier_2ry,200
Dialium guianense,supplier_top,40
Dictyoloma vandellianum,supplier_2ry,1.667
Didymopanax distractiflorus,pilot_top,0.333
Didymopanax macrocarpus,supplier_2ry,1.333
Didymopanax morototoni,supplier_top,0
Dilodendron bipinnatum,supplier_2ry,1.667
Dilodendron bipinnatum,supplier_top,2
Dimorphandra jorgei,supplier_2ry,0
Dimorphandra mollis,pilot_top,58.249
Dimorphandra mollis,supplier_2ry,0.003
Dimorphandra mollis,supplier_top,30.466
Dinizia excelsa,pilot_top,0.167
Dinizia excelsa,supplier_top,6.667
Dioclea violacea,supplier_2ry,0.003
Dioclea violacea,supplier_top,58
Diospyros hispidia,pilot_top,0.833
Diospyros lasiocalyx,pilot_top,0.333
Diospyros sericea,pilot_top,0.333
Diospyros sericea,supplier_top,3.333
Diplotropis martiusii,supplier_2ry,80
Dipteryx alata,pilot_top,696.48
Dipteryx alata,supplier_2ry,66.67
Dipteryx alata,supplier_top,809.333
Dipteryx odorata,pilot_top,125711.216
Dipteryx odorata,supplier_2ry,400
Dipteryx odorata,supplier_top,116.334
Duckesia verrucosa,supplier_2ry,66.667
Duckesia verrucosa,supplier_top,50
Duguetia Fufuracea,pilot_top,1.717
Duguetia furfuracea,supplier_top,0.333
Duguetia quitarensis,supplier_2ry,0.003
Duguetia sp.,supplier_2ry,100
Dulacia candida,pilot_top,0.333
Echinolaena inflexa,supplier_top,8
Emmotum nitens,pilot_top,89
Emmotum nitens,supplier_2ry,0.333
Emmotum nitens,supplier_top,358.334
Endopleura uchi,pilot_top,359.19
Endopleura uchi,supplier_2ry,333.336
Endopleura uchi,supplier_top,160
Enterolobium contortisiliquum,pilot_top,2533.43
