Specie,Supply_Type,Total_MORFO_Supply_Kg
Paepalanthus chiquitensis,supplier_top,28.333
Paepalanthus niger,supplier_top,10.667
Parapiptadenia rigida,supplier_2ry,0
Paratecoma peroba,supplier_2ry,0
Parinari excelsa,supplier_top,23.333
Parkia discolor,supplier_2ry,33.333
Parkia multijuga,pilot_top,2
Parkia multijuga,supplier_2ry,150.003
Parkia multijuga,supplier_top,366.667
Parkia nitida,pilot_top,0.333
Parkia pendula,pilot_top,5.667
Parkia pendula,supplier_2ry,55
Parkia pendula,supplier_top,37.867
Parkia platycephala,supplier_top,20
Parkia ulei,supplier_2ry,73.333
Paspalum notatum,supplier_2ry,23.333
Paspalum stellatum,supplier_top,32.5
Passiflora alata curtis,supplier_2ry,0
Passiflora cincinnata,supplier_2ry,0.003
Passiflora cincinnata,supplier_top,31.667
Passiflora edulis,supplier_2ry,7.067
Passiflora edulis,supplier_top,1.833
Passiflora setacea,supplier_top,6.667
Pau santo peludo,pilot_top,0.333
Paubrasilia echinata,pilot_top,5000
Paubrasilia echinata,supplier_2ry,0
Paullinia cupana,pilot_top,3.157
Peltogyne confertiflora,pilot_top,3.999
Peltogyne confertiflora,supplier_top,52.667
Peltogyne purpurea,pilot_top,1563.333
Peltophorum dubium,pilot_top,1116.667
Peltophorum dubium,supplier_2ry,18.334
Peltophorum dubium,supplier_top,15
Pera coccinea,supplier_top,13.333
Peritassa campestris,supplier_top,3.333
Phenakospermum guyannense,supplier_2ry,0.003
Phenakospermum guyannense,supplier_top,13.333
Physocalymma scaberrimum,supplier_2ry,2
Physocalymma scaberrimum,supplier_top,11.833
Phytolacca dioica,supplier_top,3.333
Pilocarpus microphyllus,pilot_top,3.333
Pilosocereus polygonus,pilot_top,0.55
Piptadenia gonoacantha,supplier_2ry,0.667
Piptadenia gonoacantha,supplier_top,2.667
Pithecellobium diversifolium,pilot_top,12.885
Plathymenia reticulata,pilot_top,0.666
Plathymenia reticulata,supplier_2ry,0.003
Plathymenia reticulata,supplier_top,9.333
Platonia insignis,pilot_top,8231.837
Platypodium elegans,pilot_top,3
Platypodium elegans,supplier_2ry,53.334
Platypodium elegans,supplier_top,63
Plenckia populnea,pilot_top,0.333
Poecilanthe parviflora,supplier_2ry,3.333
Poeppigia procera,supplier_top,10
Poraqueiba sericea,supplier_2ry,33.333
Posoqueria acutifolia,supplier_2ry,0
Posoqueria acutifolia,supplier_top,0.5
Pouteria butyrocarpa,supplier_2ry,0.003
Pouteria macrophylla,pilot_top,53658.673
Pouteria macrophylla,supplier_2ry,16.667
Pouteria ramiflora,pilot_top,0.333
Pouteria venosa,supplier_2ry,3.666
Pradosia lactescens,supplier_2ry,0
Protium aracouchini,supplier_2ry,0
Protium heptaphyllum,pilot_top,19.333
Protium heptaphyllum,supplier_2ry,83.333
Protium heptaphyllum,supplier_top,0
Protium pallidum,supplier_2ry,66.667
Protium spruceanum,supplier_2ry,33.333
Prunus myrtifolia,supplier_2ry,1.667
Pseudima frutescens,supplier_top,5.136
Pseudobombax grandiflorum,supplier_2ry,0.333
Pseudobombax longiflorum,pilot_top,0.333
Pseudobombax longiflorum,supplier_top,3.333
Pseudobombax tomentosum,pilot_top,0.333
Pseudobombax tomentosum,supplier_top,0.333
Psidium cattleyanum,supplier_2ry,8.334
Psidium cattleyanum,supplier_top,27.667
Psidium guajava,pilot_top,100
Psidium guajava,supplier_2ry,15.066
Psidium guajava,supplier_top,91.291
Psidium guineense,supplier_2ry,0.133
Psidium myrtoides,supplier_2ry,0
Psidium sp.,pilot_top,247.655
Pterocarpus rohrii,supplier_2ry,0
Pterocarpus violaceus,supplier_2ry,10
Pterocarpus violaceus,supplier_top,0.333
Pterodon emarginatus,pilot_top,11498.323
Pterodon emarginatus,supplier_2ry,0.003
Pterodon emarginatus,supplier_top,56.667
Pterodon polygalaeflorus,supplier_2ry,3.333
Pterodon polygaliflorus,supplier_2ry,20
Pterodon pubescens,pilot_top,0.666
Pterodon pubescens,supplier_top,0
Pterogyne nitens,supplier_2ry,8.667
Pterogyne nitens,supplier_top,43.667
Qualea grandiflora,pilot_top,7
Qualea grandiflora,supplier_top,45.166
Qualea multiflora,pilot_top,0.333
Qualea multiflora,supplier_top,0
Qualea parviflora,pilot_top,15
Qualea parviflora,supplier_top,31.334
Rapanea ferruginea,supplier_2ry,0.667
Rapanea guianensis,supplier_2ry,0.003
Rhynchospora consanguinea,supplier_top,0.333
Ricinus communis,supplier_top,24.833
Ricinus sp.,supplier_2ry,14.666
Roupala montana,pilot_top,0.333
Rudgea viburnoides,pilot_top,0.333
Sacoglottis mattogrossensis,supplier_2ry,133.333
Salacia elliptica,pilot_top,0.333
Salvertia convalariodora,pilot_top,0.333
Salvertia convallariodora,pilot_top,0.333
Samanea tubulosa,pilot_top,4.286
Samanea tubulosa,supplier_2ry,1.667
Samanea tubulosa,supplier_top,31.634
Sapindus saponaria,pilot_top,58.196
Sapindus saponaria,supplier_2ry,17.667
Schefflera morototoni,pilot_top,3.683
Schefflera morototoni,supplier_2ry,66.67
Schefflera morototoni,supplier_top,16.667
Schefflera vinosa,supplier_2ry,0
Schinopsis brasiliensis,supplier_2ry,0.003
Schinus molle,supplier_2ry,1.333
Schinus terebinthifolia,supplier_2ry,37.002
Schinus terebinthifolia,supplier_top,22.667
Schizachyrium sanguineum,supplier_top,158
Schizolobium parahyba var. amazonicum,pilot_top,25.234
Schizolobium parahyba var. amazonicum,supplier_2ry,0.003
Schizolobium parahyba var. amazonicum,supplier_top,1364.5
Schizolobium parahyba var. parahyba,supplier_2ry,47
Schizolobium parahyba var. parahyba,supplier_top,100
Schjnus terenbentifolius,supplier_2ry,666.667
Sclerolobium denudatum,supplier_top,0.333
Sclerolobium paniculatum,supplier_2ry,1
Seguieria langsdorffii,supplier_top,0
Senegalia mattogrossensis,supplier_top,0.667
Senegalia polymorpha,supplier_2ry,1.333
Senegalia polyphylla,supplier_2ry,13.333
Senegalia polyphylla,supplier_top,178.117
Senegalia sp.,pilot_top,3.333
Senegalia sp.,supplier_top,6.667
Senna alata,pilot_top,45.487
Senna alata,supplier_2ry,37.676
Senna alata,supplier_top,142.334
Senna cf. pendula,supplier_2ry,0.333
Senna macranthera,supplier_2ry,0.667
Senna macranthera,supplier_top,0
Senna multijuga,supplier_2ry,1.333
Senna multijuga,supplier_top,43.967
Senna obtusifolia,supplier_2ry,1
Senna occidentalis,supplier_2ry,0.67
Senna occidentalis,supplier_top,11
Senna rugosa,supplier_2ry,0.003
Senna sp,supplier_top,8.333
Senna sp.,pilot_top,3.333
Senna sp.,supplier_2ry,0.003
Senna sp.,supplier_top,0
Senna spectabilis,supplier_top,40
Sesamum indicum,supplier_2ry,0.003
Sesamum indicum,supplier_top,241.67
Sesbania sesban,supplier_2ry,0
Sesbania virgata,supplier_top,3.333
Simarouba amara,supplier_2ry,40
Simarouba amara,supplier_top,39
Simarouba sp.,supplier_2ry,66.667
Simarouba versicolor,pilot_top,133.666
Simarouba versicolor,supplier_top,60
Siparuna guianesis,pilot_top,0.333
Socrotea exorrhiza,pilot_top,3.333
Socrotea exorrhiza,supplier_top,66.667
Solanum aculeatissimum,supplier_2ry,0
Solanum capsicoides,supplier_top,6.667
Solanum crinitum,supplier_2ry,3.333
Solanum crinitum,supplier_top,61
Solanum delicatulum,supplier_top,10
Solanum granulosoleprosum,supplier_top,1
Solanum lycocarpum,pilot_top,50
Solanum lycocarpum,supplier_2ry,6.67
Solanum lycocarpum,supplier_top,22.9
Solanum mauritianum,supplier_2ry,1
Solanum paniculatum,supplier_2ry,2.333
Solanum paniculatum,supplier_top,16.933
Solanum sp.,supplier_2ry,36.67
Solanum sp.,supplier_top,3.333
Sparattanthelium botocudorum,supplier_2ry,0
Sparattosperma leucanthum,supplier_2ry,0.667
Spondias bahiensis,supplier_2ry,3.333
Spondias dulcis,supplier_2ry,0.667
Spondias mombin,pilot_top,1087.07
Spondias mombin,supplier_2ry,603.336
Spondias mombin,supplier_top,696.633
Spondias sp.,pilot_top,31505
Spondias tuberosa,pilot_top,134.672
Spondias venulosa,supplier_2ry,666.667
Sterculia apetala,pilot_top,3.493
Sterculia apetala,supplier_top,12.333
Sterculia chicha,pilot_top,10.133
Sterculia excelsa,supplier_2ry,0
Sterculia spp.,supplier_2ry,8.333
Sterculia striata,pilot_top,13.233
Sterculia striata,supplier_2ry,0.003
Sterculia striata,supplier_top,256.699
Striphnodendron adstringens,pilot_top,0.333
Strycnos pseudoquina,pilot_top,0.333
Stryphnodendron adstringens,pilot_top,83.666
Stryphnodendron adstringens,supplier_2ry,0.67
Stryphnodendron adstringens,supplier_top,21
Stryphnodendron coriaceum,supplier_2ry,0.003
Stryphnodendron guianense,supplier_2ry,66.667
Stryphnodendron pulcherrimum,pilot_top,0.167
Stryphnodendron pulcherrimum,supplier_top,100
Stryphnodendron rotundifolium,supplier_top,12
Stryphnodendron sp.,supplier_top,100
Stylosanthes Campo Grande,supplier_top,66.667
Styrax camporum,pilot_top,0.333
Swartzia apetala var. apetala,supplier_2ry,0.003
Swartzia corrugata,supplier_2ry,16.667
Swartzia flaemingii,pilot_top,10.433
Swartzia langsdorffii,pilot_top,72173.333
Swartzia langsdorffii,supplier_2ry,2
Swartzia racemosa,supplier_2ry,33.333
Swietenia macrophylla,pilot_top,3.8
Swietenia macrophylla,supplier_2ry,0.336
Swinglea glutinosa,supplier_2ry,1
Swuartizia euxilophora,supplier_2ry,66.667
Syagrus botryophora,pilot_top,25.783
Syagrus flexuosa,supplier_top,4
Syagrus oleracea,pilot_top,3.333
Syagrus oleracea,supplier_top,91.666
Syagrus romanzoffiana,supplier_2ry,23.333
Syagrus romanzoffiana,supplier_top,41.667
Symphonia globulifera,supplier_2ry,0
Tabebuia aurea,pilot_top,13.333
Tabebuia aurea,supplier_2ry,0.003
Tabebuia aurea,supplier_top,139.667
Tabebuia pentaphylla,supplier_2ry,1.5
Tabebuia roseoalba,pilot_top,1.466
Tabebuia roseoalba,supplier_2ry,3
Tabebuia roseoalba,supplier_top,37.467
Tabebuia sp.,supplier_2ry,0.009
Tachigali alba,pilot_top,2.553
Tachigali aurea,pilot_top,714
Tachigali aurea,supplier_top,66.667
Tachigali bracteosa,supplier_top,6.667
Tachigali chrysaloides,supplier_top,20.667
Tachigali multijuga,supplier_2ry,33.333
Tachigali sp.,supplier_2ry,66.667
Tachigali subvelutina,supplier_top,3.333
Tachigali vulgaris,pilot_top,18
Tachigali vulgaris,supplier_2ry,0.003
Tachigali vulgaris,supplier_top,179
Talisia esculenta,pilot_top,24438.666
Talisia longifolia,pilot_top,0.833
Tamarindus indica,pilot_top,3.333
Tamarindus indica,supplier_2ry,18.333
Tamarindus indica,supplier_top,232.234
Tapirira guianensis,pilot_top,0.333
Tapirira guianensis,supplier_2ry,83.336
Tectona grandes,supplier_2ry,3.333
Tephrosia sp,supplier_2ry,3.333
Terminalia argentea,pilot_top,16.667
Terminalia argentea,supplier_2ry,10
Terminalia argentea,supplier_top,137.834
Terminalia corrugata,pilot_top,2942.877
Terminalia corrugata,supplier_2ry,53.334
Terminalia corrugata,supplier_top,322.333
Terminalia fagifolia,supplier_2ry,27.337
Terminalia fagifolia,supplier_top,11.333
Terminalia glabrescens,pilot_top,0.333
Terminalia lucida,supplier_2ry,166.667
Terminalia mantaly,supplier_2ry,0.167
Terminalia parvifolia,pilot_top,0.667
Theobroma cacao,supplier_2ry,3.333
Theobroma grandiflorum,pilot_top,15.783
Theobroma grandiflorum,supplier_2ry,3.333
Theobroma speciosum,pilot_top,0.597
Theobroma speciosum,supplier_2ry,3.333
Thyrsodium spruceanum,supplier_top,1
Tibouchina granulosa,supplier_2ry,10
Tocoyena formosa,pilot_top,0.333
Tomovita brasilienera,pilot_top,0.1
Trachypogon spicatus,supplier_top,154
Trattinnickia rhoifolia,supplier_top,106
Trema micranthum,pilot_top,16.5
Trema micranthum,supplier_2ry,19.004
Trema micranthum,supplier_top,26.5
Trichogonia prancei,supplier_top,6.667
Triplaris americana,supplier_2ry,34.667
Triplaris americana,supplier_top,21
Triplaris brasiliana,supplier_top,5
Triplaris gardneriana,pilot_top,65.633
Triplaris sp.,supplier_2ry,1.667
Unknown,pilot_top,4.749
Vatairea macrocarpa,pilot_top,155.667
Vatairea macrocarpa,supplier_2ry,0.003
Vatairea macrocarpa,supplier_top,49.5
Vernonanthura polyanthes,supplier_2ry,5.707
Vernonanthura polyanthes,supplier_top,158.333
Vernonia scabra,supplier_2ry,0.133
Virola bicuhyba,supplier_2ry,0
Virola oleifera,supplier_2ry,18
Virola sebifera,supplier_2ry,0.003
Virola surinamensis,pilot_top,3.833
Vismia guianensis,pilot_top,0.017
Vismia guianensis,supplier_2ry,10
Vitex cf. panshiniana,pilot_top,0.333
Vitex megapotamica,supplier_top,50.134
Vochysia bifalcata,supplier_top,1.667
Vochysia haenkeana,pilot_top,33.666
Vochysia pyramidalis,pilot_top,0.333
Vochysia rufa,pilot_top,0.333
Vochysia thyrsoidea,supplier_top,0
Vochysia tucanorum,supplier_2ry,3.333
Vouarana guianensis,pilot_top,0.267
Xylopia aromatica,pilot_top,1.333
Xylopia brasiliensis,pilot_top,293.333
Xylopia sericea,supplier_2ry,0
Xyris asperula,supplier_top,12.333
Zanthoxylum ekimanii,supplier_top,12.567
Zanthoxylum rhoifolium,pilot_top,0.033
Zanthoxylum rhoifolium,supplier_2ry,9.333
Zanthoxylum rhoifolium,supplier_top,31.301
Zanthoxylum riedelianum,pilot_top,3.666
Zeyheria montana,supplier_2ry,0.003
Zeyheria montana,supplier_top,0.167
Zeyheria tuberculosa,supplier_2ry,0
Ziziphus joazeiro,pilot_top,12.993
